latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
58.675,105.678,331.5,1.5,1.2,2021-08-31,0345,T,85,6.1NRT,295.8,45.7,D
58.676,105.644,347.9,1.5,1.2,2021-08-31,0345,T,95,6.1NRT,296.7,95.8,D
58.673,105.67,345.8,1.5,1.2,2021-08-31,0345,T,94,6.1NRT,296.8,88.8,D
58.624,105.865,321.3,1.5,1.2,2021-08-31,0345,T,25,6.1NRT,298.5,22.8,D
58.622,105.891,329.9,1.5,1.2,2021-08-31,0345,T,57,6.1NRT,298.3,37.7,D
58.602,106.117,314.1,1.4,1.2,2021-08-31,0345,T,47,6.1NRT,294,13.8,D
58.731,104.335,328.2,1.7,1.3,2021-08-31,0345,T,85,6.1NRT,294.2,49.5,D
58.605,105.963,321.7,1.5,1.2,2021-08-31,0345,T,44,6.1NRT,300.1,22.7,D
58.602,105.988,319.7,1.5,1.2,2021-08-31,0345,T,53,6.1NRT,299,19.3,D
58.722,104.303,340.1,1.7,1.3,2021-08-31,0345,T,91,6.1NRT,295.4,86.7,D
58.72,104.333,352.6,1.7,1.3,2021-08-31,0345,T,97,6.1NRT,300,139.1,D
58.598,105.909,334.9,1.5,1.2,2021-08-31,0345,T,76,6.1NRT,296.5,52.7,D
58.445,107.597,316.4,1.3,1.1,2021-08-31,0345,T,75,6.1NRT,295.3,17.9,D
58.708,104.33,331.3,1.7,1.3,2021-08-31,0345,T,87,6.1NRT,296.7,57.8,D
58.706,104.358,313.4,1.7,1.3,2021-08-31,0345,T,26,6.1NRT,295.3,16.7,D
58.429,107.658,310.3,1.3,1.1,2021-08-31,0345,T,64,6.1NRT,296.2,8.9,D
58.562,106.078,320,1.5,1.2,2021-08-31,0345,T,65,6.1NRT,297.1,20.1,D
58.56,106.103,339.1,1.4,1.2,2021-08-31,0345,T,91,6.1NRT,299.4,60.3,D
58.558,106.128,337,1.4,1.2,2021-08-31,0345,T,90,6.1NRT,302.3,55.7,D
58.7,104.322,310.7,1.7,1.3,2021-08-31,0345,T,39,6.1NRT,294.6,14.4,D
